activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,53425,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '24.79', 'le': '0.46', 'lle': '4.00', 'sei': '21.76'}",CHEMBL1790051,,CHEMBL83729,6.43,False,http://www.openphacts.org/units/Nanomolar,63551,=,1,True,=,,IC50,nM,,373.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,373.0
,70053,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '21.07', 'le': '0.40', 'lle': '4.52', 'sei': '11.45'}",CHEMBL370805,COCAINE,CHEMBL370805,6.39,False,http://www.openphacts.org/units/Nanomolar,63550,=,1,True,=,,IC50,nM,,405.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,405.0
,71269,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '8.38', 'le': None, 'lle': None, 'sei': None}",CHEMBL611999,"Rutheium (II) triflate salt of (methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate)(penta methyl cyclo penta dinyl)",CHEMBL611999,5.41,False,http://www.openphacts.org/units/Nanomolar,63552,=,1,True,=,,IC50,nM,,3890.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3890.0
,75844,[],CHEMBL871936,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 50 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,6.33,False,http://www.openphacts.org/units/Nanomolar,227611,=,1,True,=,,IC50,nM,,470.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,470.0
,75845,[],CHEMBL674122,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 200 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,6.14,False,http://www.openphacts.org/units/Nanomolar,227611,=,1,True,=,,IC50,nM,,717.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,717.0
,75846,[],CHEMBL674123,Antagonism of cocaine''s inhibition of [3H]DA uptake at the dose of 500 nM,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,,CHEMBL120633,,CHEMBL120633,5.93,False,http://www.openphacts.org/units/Nanomolar,227611,=,1,True,=,,IC50,nM,,1161.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1161.0
,105827,[],CHEMBL674125,Binding affinity towards dopamine transporter (DAT) by using [3H]WIN-35428 as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '25.03', 'le': '0.47', 'lle': '4.03', 'sei': '25.37'}",CHEMBL435341,,CHEMBL435341,7.50,False,http://www.openphacts.org/units/Nanomolar,342397,=,1,True,=,,IC50,nM,,32.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,32.0
,140824,[],CHEMBL674125,Binding affinity towards dopamine transporter (DAT) by using [3H]WIN-35428 as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '25.23', 'le': '0.47', 'lle': '4.09', 'sei': '25.57'}",CHEMBL173594,,CHEMBL173594,7.55,False,http://www.openphacts.org/units/Nanomolar,342396,=,1,True,=,,IC50,nM,,28.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,28.0
,184101,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL28376,,CHEMBL28376,6.42,False,http://www.openphacts.org/units/Nanomolar,37817,=,1,True,=,,IC50,nM,,377.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,377.0
,184102,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '17.86', 'le': '0.37', 'lle': '1.88', 'sei': '29.17'}",CHEMBL28376,,CHEMBL28376,5.92,False,http://www.openphacts.org/units/Nanomolar,37817,=,1,True,=,,IC50,nM,,1190.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1190.0
,184111,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL28394,,CHEMBL28394,9.00,False,http://www.openphacts.org/units/Nanomolar,37814,=,1,True,=,,IC50,nM,,0.99,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,0.99
,184112,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '31.88', 'le': '0.68', 'lle': '4.78', 'sei': '291.47'}",CHEMBL28394,,CHEMBL28394,9.44,False,http://www.openphacts.org/units/Nanomolar,37814,=,1,True,=,,IC50,nM,,0.36,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,0.36
,186863,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL27336,,CHEMBL27336,8.59,False,http://www.openphacts.org/units/Nanomolar,37825,=,1,True,=,,IC50,nM,,2.6,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,2.6
,186864,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '32.05', 'le': '0.64', 'lle': '4.14', 'sei': '260.99'}",CHEMBL27336,,CHEMBL27336,8.46,False,http://www.openphacts.org/units/Nanomolar,37825,=,1,True,=,,IC50,nM,,3.5,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3.5
,190517,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL610897,,CHEMBL610897,8.49,False,http://www.openphacts.org/units/Nanomolar,37812,=,1,True,=,,IC50,nM,,3.2,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3.2
,190518,[],CHEMBL674119,Ability to displace [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '29.85', 'le': '0.60', 'lle': '5.69', 'sei': '29.69'}",CHEMBL610897,,CHEMBL610897,8.77,False,http://www.openphacts.org/units/Nanomolar,37812,=,1,True,=,,IC50,nM,,1.7,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1.7
,190519,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,C=C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL281288,,CHEMBL281288,8.55,False,http://www.openphacts.org/units/Nanomolar,37823,=,1,True,=,,IC50,nM,,2.8,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,2.8
,190520,[],CHEMBL674118,Ability to displace [3H]-Mazindol from dopamine receptor,B,,,BAO_0000190,BAO_0000357,single protein format,C=C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '34.07', 'le': '0.68', 'lle': '4.83', 'sei': '275.33'}",CHEMBL281288,,CHEMBL281288,8.92,False,http://www.openphacts.org/units/Nanomolar,37823,=,1,True,=,,IC50,nM,,1.2,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1.2
not isolated,190521,[],CHEMBL678067,Inhibitory concentration required for [3H]dopamine uptake; not being isolated,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL282332,,CHEMBL282332,,False,,37816,,1,False,,,IC50,,,,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,,,
not isolated,190522,[],CHEMBL674121,Ability to displace [3H]mazindol to dopamine receptor; not being isolated,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL282332,,CHEMBL282332,,False,,37816,,1,False,,,IC50,,,,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,,,
,191806,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL2115570,,CHEMBL2115570,7.72,False,http://www.openphacts.org/units/Nanomolar,37821,=,1,True,=,,IC50,nM,,19.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,19.0
,191807,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '25.72', 'le': '0.55', 'lle': '2.96', 'sei': '235.18'}",CHEMBL2115570,,CHEMBL2115570,7.62,False,http://www.openphacts.org/units/Nanomolar,37821,=,1,True,=,,IC50,nM,,24.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,24.0
,194056,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL28394,,CHEMBL28394,8.89,False,http://www.openphacts.org/units/Nanomolar,37824,=,1,True,=,,IC50,nM,,1.3,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,1.3
,194057,[],CHEMBL674120,Displacement of [3H]mazindol from dopamine transporter,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '30.84', 'le': '0.66', 'lle': '4.48', 'sei': '282.00'}",CHEMBL28394,,CHEMBL28394,9.14,False,http://www.openphacts.org/units/Nanomolar,37824,=,1,True,=,,IC50,nM,,0.73,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,0.73
,197444,[],CHEMBL674129,Inhibitory concentration against [3H]dopamine uptake,F,,,BAO_0000190,BAO_0000019,assay format,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,,CHEMBL27586,,CHEMBL27586,7.98,False,http://www.openphacts.org/units/Nanomolar,37820,=,1,True,=,,IC50,nM,,10.5,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,10.5
