molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,373.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,405.0,active
CHEMBL120633,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,470.0,active
CHEMBL120633,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,717.0,active
CHEMBL120633,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,1161.0,intermediate
CHEMBL435341,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,32.0,active
CHEMBL173594,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,28.0,active
CHEMBL28376,CN1C2CCC1[C@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,377.0,active
CHEMBL28376,CN1C2CCC1[C@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,1190.0,intermediate
CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,0.99,active
CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,0.36,active
CHEMBL27336,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,2.6,active
CHEMBL27336,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,3.5,active
CHEMBL610897,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,3.2,active
CHEMBL610897,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,1.7,active
CHEMBL281288,C=C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,2.8,active
CHEMBL281288,C=C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,1.2,active
CHEMBL2115570,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,19.0,active
CHEMBL2115570,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,24.0,active
CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,1.3,active
CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,0.73,active
CHEMBL27586,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,10.5,active
CHEMBL27586,CN1C2CCC1[C@@H]([C@@H](O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,9.2,intermediate
CHEMBL285342,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,525.0,active
CHEMBL285342,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,1105.0,active
CHEMBL120901,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C,350.0,active
CHEMBL120901,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C,490.0,active
CHEMBL2115570,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,16.0,active
CHEMBL2115570,CN1C2CCC1[C@H](C=CCl)[C@@H](c1ccc(Cl)cc1)C2,18.0,active
CHEMBL285342,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,125.0,intermediate
CHEMBL285342,CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,166.0,inactive
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,12.9,intermediate
