,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,active,295.81,2.847700000000002,0.0,3.0,6.428291168191312
1,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.392544976785332
2,CHEMBL120633,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,active,626.7940000000003,5.189540000000007,1.0,8.0,6.327902142064283
3,CHEMBL120633,COC(=O)[C@@H]1C2CCC(C[C@@H]1C(=O)Oc1ccccc1)N2C.Cc1ccc(C(=O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,active,626.7940000000003,5.189540000000007,1.0,8.0,6.144480844332199
5,CHEMBL435341,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,active,299.414,3.4590000000000023,0.0,3.0,7.494850021680094
6,CHEMBL173594,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,active,299.414,3.4590000000000023,0.0,3.0,7.552841968657781
7,CHEMBL28376,CN1C2CCC1[C@H](C(=O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2,active,331.765,4.037700000000003,0.0,2.0,6.423658649794207
9,CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,active,296.24100000000004,4.658800000000004,0.0,1.0,9.00436480540245
10,CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,active,296.24100000000004,4.658800000000004,0.0,1.0,9.443697499232712
11,CHEMBL27336,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,active,263.812,4.3163000000000045,0.0,1.0,8.585026652029182
